title,paiming,recommend_price,uri,hotel_address,avg_rating,comment_count,offical_img_uri,facility,room,agoda_price
台北松山意舍酒店,"台北排名第 11 的超值住宿地點，共 1,201 家","NT$3,983",https://www.tripadvisor.com.tw/Hotel_Review-g13806753-d8781562-Reviews-Amba_Taipei_Songshan-Nangang_Taipei.html,市民大道七段8號,4.5,423,https://media-cdn.tripadvisor.com/media/photo-s/12/6e/02/84/corner-101-view-room.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 酒吧/酒廊, 免費接駁或計程車服務, 會議設施, 宴會廳, 禮賓服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 機場接送, 巴士接駁服務, 會議室, 禁菸飯店, 乾洗服務, 洗衣服務, 自助式洗衣","NT$3,636"
兄弟大飯店,"台北排名第 12 的超值住宿地點，共 1,201 家","NT$2,114",https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d308653-Reviews-Brother_Hotel_Taipei-Songshan_Taipei.html,南京東路三段255號,4.0,515,https://media-cdn.tripadvisor.com/media/photo-s/11/90/4a/c8/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 酒吧/酒廊, 機場接送, 提供上網服務的商務中心, 宴會廳, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 會議室, 乾洗服務, 洗衣服務","NT$2,310"
台北王朝大酒店,"台北排名第 13 的超值住宿地點，共 1,201 家","NT$3,100",https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d306449-Reviews-Sunworld_Dynasty_Hotel_Taipei-Songshan_Taipei.html,松山區敦化北路100號,4.0,1109,https://media-cdn.tripadvisor.com/media/photo-s/15/28/83/10/sunworld-dynasty-hotel.jpg,,,"NT$3,500"
城市商旅-南東館,"台北排名第 14 的超值住宿地點，共 1,201 家","NT$3,195",https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d2415965-Reviews-City_Suites_Taipei_Nandong-Songshan_Taipei.html,松山區南京東路五段411號,4.5,421,https://media-cdn.tripadvisor.com/media/photo-s/10/4c/35/46/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視","免費高速上網 (WiFi), 餐廳, 機場接送, 提供上網服務的商務中心, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 自助式早餐",
喜瑞飯店,"台北排名第 15 的超值住宿地點，共 1,201 家","NT$2,829",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d598759-Reviews-Ambience_Hotel-Zhongshan_District_Taipei.html,長安東路一段64號,4.5,1852,https://media-cdn.tripadvisor.com/media/photo-s/0d/a2/ac/06/caption.jpg,,,"NT$2,357"
台北華國大飯店,"台北排名第 16 的超值住宿地點，共 1,201 家","NT$1,891",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d306188-Reviews-Imperial_Hotel_Taipei-Zhongshan_District_Taipei.html,中山區林森北路600號,4.0,1003,https://media-cdn.tripadvisor.com/media/photo-s/09/9a/95/1a/club-deluxe-room-king--v8742145.jpg,,,"NT$1,760"
蜂巢旅店,"台北排名第 17 的超值住宿地點，共 1,201 家","NT$2,174",https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d4134607-Reviews-Bee_House_Taipei_Station_Branch-Datong_Taipei.html,大同區太原路57號,4.5,1538,https://media-cdn.tripadvisor.com/media/photo-s/09/b8/ff/b0/deluxe-triple-room-single-beds--v.jpg,"禁菸客房, 家庭房, 空調設施, 房務, 保險箱, 冰箱, 平板電視","免費高速上網 (WiFi), 免費網際網路, 餐廳, 提供早餐, 禮賓服務, 禁菸飯店, 洗衣服務, 自助式洗衣, 無線網路, 公用無線網路, 網際網路","NT$2,424"
台北中山意舍酒店,"台北排名第 18 的超值住宿地點，共 1,201 家","NT$2,371",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d7738019-Reviews-Amba_Taipei_Zhongshan-Zhongshan_District_Taipei.html,中山北路二段57-1號,4.5,415,https://media-cdn.tripadvisor.com/media/photo-s/08/ba/0e/e8/amba-taipei-zhongshan.jpg,"禁菸客房, 家庭房, 空調設施, 平板電視","免費高速上網 (WiFi), 免費網際網路, 酒吧/酒廊, 餐廳, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 無線網路, 公用無線網路, 網際網路, 自助式早餐, 自助式洗衣",
路徒行旅,"台北排名第 19 的超值住宿地點，共 1,201 家","NT$2,059",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d10125458-Reviews-Roaders_Hotel-Zhongzheng_District_Taipei.html,中正區延平南路68號 漢口街延平南路口,4.5,240,https://media-cdn.tripadvisor.com/media/photo-s/0a/bf/82/a6/getlstd-property-photo.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視","免費高速上網 (WiFi), 免費網際網路, 無線網路, 有健身房的健身中心, 兒童活動 (適合兒童/家庭), 禁菸飯店, 洗衣服務, 自助式洗衣, 公用無線網路, 網際網路","NT$2,165"
福泰桔子商務旅館 西門店,"台北排名第 20 的超值住宿地點，共 1,201 家","NT$3,802",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d3862269-Reviews-Orange_Hotel_Ximen_Taipei-Wanhua_Taipei.html,萬華區中華路一段166號之2,4.5,406,https://media-cdn.tripadvisor.com/media/photo-s/0e/77/a9/73/caption.jpg,,,"NT$3,400"
台北燦路都飯店,"台北排名第 21 的超值住宿地點，共 1,201 家","NT$2,062",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d478062-Reviews-Hotel_Sunroute_Taipei-Zhongshan_District_Taipei.html,中山區民權東路一段9號,4.0,455,https://media-cdn.tripadvisor.com/media/photo-s/16/a7/4c/83/caption.jpg,,,"NT$2,139"
薆悅精品,"台北排名第 22 的超值住宿地點，共 1,201 家","NT$2,094",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d8700927-Reviews-Inhouse_Boutique-Wanhua_Taipei.html,萬華區成都路27巷8號,4.5,155,https://media-cdn.tripadvisor.com/media/photo-s/0e/29/22/f0/caption.jpg,,,"NT$2,313"
喜來登大飯店,"台北排名第 23 的超值住宿地點，共 1,201 家","NT$2,222",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d301805-Reviews-Sheraton_Grand_Taipei_Hotel-Zhongzheng_District_Taipei.html,忠孝東路一段12號,4.0,1705,https://media-cdn.tripadvisor.com/media/photo-s/18/00/24/75/lobby.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 冰箱, 平板電視","停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 機場接送, 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 網際網路, 浴缸, 室外游泳池, 餐廳, 提供早餐, 自助式早餐, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",
福泰桔子商務旅館 - 開封店,"台北排名第 24 的超值住宿地點，共 1,201 家","NT$2,937",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1020693-Reviews-Orange_Hotel_Kaifong-Zhongzheng_District_Taipei.html,中正區開封街一段41號,4.0,219,https://media-cdn.tripadvisor.com/media/photo-s/0d/fe/dc/99/caption.jpg,"禁菸客房, 套房, 空調設施, 冰箱, 平板電視","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 提供早餐, 禁菸飯店",
華泰王子大飯店,"台北排名第 25 的超值住宿地點，共 1,201 家","NT$5,800",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d301400-Reviews-GLORIA_PRINCE_HOTEL_Taipei-Zhongshan_District_Taipei.html,中山區林森北路369號,4.0,496,https://media-cdn.tripadvisor.com/media/photo-s/13/68/7a/1d/exterior-view.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 冰箱, 平板電視","免費高速上網 (WiFi), 有健身房的健身中心, 浴缸, 酒吧/酒廊, 機場接送, 提供上網服務的商務中心, 會議設施, 禮賓服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 自助式早餐, 宴會廳, 會議室, 禁菸飯店, 乾洗服務, 洗衣服務","NT$5,800"
信星旅馆 - 台北車站,"台北排名第 26 的超值住宿地點，共 1,201 家","NT$1,607",https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d6925013-Reviews-Star_Hostel_Taipei_Main_Station-Datong_Taipei.html,大同區華陰街50號4樓,4.5,409,https://media-cdn.tripadvisor.com/media/photo-s/10/1e/51/bf/photo0jpg.jpg,"禁菸客房, 家庭房, 空調設施, 小廚房","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 免費早餐, 禁菸飯店, 洗衣服務, 自助式洗衣, 網際網路","NT$1,626"
老爺會館台北南西- 捷運中山站,"台北排名第 27 的超值住宿地點，共 1,201 家","NT$2,330",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d308595-Reviews-Royal_Inn_Taipei_Nanxi_MRT_Zhongshan_Station-Zhongshan_District_Taipei.html,南京西路1號 8樓 (鄰近台北捷運中山站),4.0,412,https://media-cdn.tripadvisor.com/media/photo-s/0f/a5/48/79/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視","免費高速上網 (WiFi), 免費網際網路, 免費早餐, 會議室, 禮賓服務, 禁菸飯店, 乾洗服務, 自助式洗衣, 無線網路, 網際網路, 餐廳, 自助式早餐",
丰居旅店 - 台北車站館,"台北排名第 28 的超值住宿地點，共 1,201 家",,https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d8555273-Reviews-Via_Hotel_Taipei_Station-Zhongzheng_District_Taipei.html,重慶南路一段60號1-7樓,4.5,216,https://media-cdn.tripadvisor.com/media/photo-s/09/df/33/c5/getlstd-property-photo.jpg,,,"NT$1,837"
伸適商旅,"台北排名第 29 的超值住宿地點，共 1,201 家",,https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d1218729-Reviews-Hotel_Sense-Zhongshan_District_Taipei.html,中山區林森北路477號,4.0,199,https://media-cdn.tripadvisor.com/media/photo-s/0b/c2/f1/e2/deluxe-room.jpg,"禁菸客房, 家庭房, 空調設施, 迷你吧, 平板電視","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 餐廳, 提供上網服務的商務中心, 會議室, 禮賓服務, 禁菸飯店, 停車, 免費網際網路, 無線網路, 網際網路, 自助式早餐, 乾洗服務, 洗衣服務",
好得文旅,"台北排名第 30 的超值住宿地點，共 1,201 家",,https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d10387162-Reviews-Chill_Roof_Hotel-Zhongshan_District_Taipei.html,南京東路二段11號11層 中山区,4.5,63,https://media-cdn.tripadvisor.com/media/photo-s/0c/fe/17/e4/room-no06-corbusier.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱","免費高速上網 (WiFi), 免費網際網路, 無線網路, 網際網路, 兒童活動 (適合兒童/家庭), 機場接送, 禁菸飯店, 自助式洗衣","NT$1,801"
新驛旅店 - 台北車站三館,"台北排名第 31 的超值住宿地點，共 1,201 家","NT$3,352",https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d1950018-Reviews-CityInn_Hotel_Taipei_Station_Branch_III-Datong_Taipei.html,長安西路77號,4.5,1484,https://media-cdn.tripadvisor.com/media/photo-s/0d/b8/db/52/cityinn-hotel-taipei.jpg,,,"NT$3,348"
Home Hotel 大安,"台北排名第 32 的超值住宿地點，共 1,201 家","NT$1,729",https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d7997174-Reviews-Home_Hotel_DaAn-Da_an_Taipei.html,大安區復興南路一段219-2號,4.5,352,https://media-cdn.tripadvisor.com/media/photo-s/16/ba/75/b0/home-hotel.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 冰箱, 平板電視","免費停車, 停車, 免費高速上網 (WiFi), 酒吧/酒廊, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 自助式早餐","NT$2,038"
台北西門町意舍,"台北排名第 33 的超值住宿地點，共 1,201 家","NT$3,844",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2347774-Reviews-Amba_Taipei_Ximending-Wanhua_Taipei.html,武昌街二段77號1樓、5樓-10樓,4.5,934,https://media-cdn.tripadvisor.com/media/photo-s/12/cf/10/21/newly-refurbished-medium.jpg,"禁菸客房, 家庭房, 空調設施, 房務, 衣櫃/壁櫥, 迷你吧, 第四台/衛星電視, 步入式淋浴間, 瓶裝水, 衣架, 喚醒服務/鬧鐘, 平板電視, 免費衛浴用品, 吹風機","現場付費公共停車場, 免費高速上網 (WiFi), 酒吧/酒廊, 嬰兒推車, 包車, 傳真/影印, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 咖啡館, 餐廳, 自助式早餐, 免費提供茶, 雨傘, 烘衣機, 乾洗服務, 洗衣服務, 自助式洗衣, 洗衣機","NT$3,792"
台北W飯店,"台北排名第 34 的超值住宿地點，共 1,201 家","NT$3,279",https://www.tripadvisor.com.tw/Hotel_Review-g13808515-d1879542-Reviews-W_Taipei-Xinyi_District_Taipei.html,忠孝東路五段10號 Metro Station: Taipei City Hall - Exit 2,4.5,3366,https://media-cdn.tripadvisor.com/media/photo-s/18/93/43/dc/exterior.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 客房服務, 迷你吧, 平板電視, 保險箱, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 夜店/ DJ, 兒童可享免費住宿, 機場接送, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 桑拿, 屋頂游泳池, 成人游泳池, 室外游泳池, 溫水游泳池, 餐廳, 提供早餐, 自助式早餐, 游泳池酒吧, 游泳池畔酒吧, 屋頂酒吧, 提供上網服務的商務中心, 會議設施, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",
方舟旅店 - 長安復興,"台北排名第 35 的超值住宿地點，共 1,201 家","NT$8,957",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d8553817-Reviews-Ark_Hotel_Chang_an_Fuxing-Zhongshan_District_Taipei.html,中山區長安東路二段246號3樓,4.5,267,https://media-cdn.tripadvisor.com/media/photo-s/0a/9a/80/63/caption.jpg,"禁菸客房, 家庭房, 空調設施, 微波爐, 冰箱","免費高速上網 (WiFi), 免費網際網路, 無線網路, 機場接送, 禮賓服務, 禁菸飯店, 洗衣服務, 自助式洗衣, 公用無線網路, 網際網路","NT$9,000"
新尚旅店,"台北排名第 36 的超值住宿地點，共 1,201 家","NT$1,197",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1191387-Reviews-Hotel_73-Zhongzheng_District_Taipei.html,中正區信義路二段73號,4.5,1274,https://media-cdn.tripadvisor.com/media/photo-s/13/2a/f9/4a/caption.jpg,"禁菸客房, 家庭房, 空調設施, 保險箱, 冰箱, 平板電視","免費高速上網 (WiFi), 免費網際網路, 免費早餐, 機場接送, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 無線網路, 公用無線網路, 網際網路, 餐廳, 自助式早餐, 自助式洗衣",
信星旅馆 - 台北車站,"台北排名第 37 的超值住宿地點，共 1,201 家","NT$4,385",https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d6925013-Reviews-Star_Hostel_Taipei_Main_Station-Datong_Taipei.html,大同區華陰街50號4樓,4.5,409,https://media-cdn.tripadvisor.com/media/photo-s/10/1e/51/bf/photo0jpg.jpg,"禁菸客房, 家庭房, 空調設施, 小廚房","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 免費早餐, 禁菸飯店, 洗衣服務, 自助式洗衣, 網際網路","NT$4,675"
台北王朝大酒店,"台北排名第 38 的超值住宿地點，共 1,201 家","NT$1,505",https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d306449-Reviews-Sunworld_Dynasty_Hotel_Taipei-Songshan_Taipei.html,松山區敦化北路100號,4.0,1109,https://media-cdn.tripadvisor.com/media/photo-s/15/28/83/10/sunworld-dynasty-hotel.jpg,,,"NT$1,731"
台北怡亨酒店,"台北排名第 39 的超值住宿地點，共 1,201 家","NT$1,837",https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d1395608-Reviews-Hotel_Eclat_Taipei-Da_an_Taipei.html,大安區敦化南路一段370號,4.5,1179,https://media-cdn.tripadvisor.com/media/photo-s/17/2c/5a/6b/caption.jpg,"禁菸客房, 套房, 空調設施, 房務, 客房服務, 迷你吧, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 酒吧/酒廊, 機場接送, 會議設施, 會議室, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 自助式早餐, 乾洗服務, 洗衣服務",
丰居旅店 - 台北車站館,"台北排名第 40 的超值住宿地點，共 1,201 家","NT$2,829",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d8555273-Reviews-Via_Hotel_Taipei_Station-Zhongzheng_District_Taipei.html,重慶南路一段60號1-7樓,4.5,216,https://media-cdn.tripadvisor.com/media/photo-s/09/df/33/c5/getlstd-property-photo.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 禁菸飯店, 自助式洗衣","NT$2,357"
新驛旅店- 台北車站一館,"台北排名第 41 的超值住宿地點，共 1,201 家","NT$3,780",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1144583-Reviews-CityInn_Hotel_Taipei_Station_Branch_I-Zhongzheng_District_Taipei.html,中正區懷寧街7號,4.5,1120,https://media-cdn.tripadvisor.com/media/photo-s/15/8d/2f/bf/caption.jpg,"禁菸客房, 空調設施, 平板電視","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 禁菸飯店, 洗衣服務, 自助式洗衣","NT$4,950"
太平洋商旅,"台北排名第 42 的超值住宿地點，共 1,201 家","NT$1,801",https://www.tripadvisor.com.tw/Hotel_Review-g13808515-d505594-Reviews-Pacific_Business_Hotel-Xinyi_District_Taipei.html,信義區光復南路495號11樓,4.5,1041,https://media-cdn.tripadvisor.com/media/photo-s/12/98/7e/0f/101.jpg,"山景, 禁菸客房, 家庭房, 空調設施, 書桌, 咖啡壺/茶壺, 平板電視, 吹風機, 城市景觀, 房務, 私人陽台, 保險箱, 電話, 瓶裝水, 熨斗, 冰箱","停車, 免費高速上網 (WiFi), 有健身房的健身中心, 餐廳, 機場接送, 提供上網服務的商務中心, 會議設施, 24 小時保全, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 提供早餐, 自助式早餐, 會議室, 禮賓服務, 外幣兌換服務, 禮品商店, 禁菸飯店, 24 小時辦理入住, 乾洗服務, 洗衣服務, 自助式洗衣, 洗衣機",
台北文華東方酒店,"台北排名第 43 的超值住宿地點，共 1,201 家","NT$1,853",https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d1416364-Reviews-Mandarin_Oriental_Taipei-Songshan_Taipei.html,松山區敦化北路158號,4.5,1602,https://media-cdn.tripadvisor.com/media/photo-s/18/5c/83/90/lobby.jpg,,,
阿樹國際旅店,"台北排名第 44 的超值住宿地點，共 1,201 家","NT$3,107",https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d12926686-Reviews-Artree_Hotel-Songshan_Taipei.html,八德路三段76號,4.5,117,https://media-cdn.tripadvisor.com/media/photo-s/10/ed/d8/c7/caption.jpg,,,"NT$3,397"
旅樂序精品旅館 站前一館,"台北排名第 45 的超值住宿地點，共 1,201 家","NT$9,478",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d4023040-Reviews-Hotel_Relax_I-Zhongzheng_District_Taipei.html,中正區館前路8號11樓,4.5,1380,https://media-cdn.tripadvisor.com/media/photo-s/06/90/3c/60/caption.jpg,,,
台灣青旅膠囊旅店,"台北排名第 46 的超值住宿地點，共 1,201 家","NT$3,706",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d11704833-Reviews-Taiwan_Youth_Hostel_Capsule_Hotel-Zhongzheng_District_Taipei.html,中正區青島西路11號B1,5.0,258,https://media-cdn.tripadvisor.com/media/photo-s/0d/8d/3d/77/caption.jpg,"禁菸客房, 空調設施, 小廚房, 微波爐","免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 禮賓服務, 禁菸飯店, 洗衣服務, 自助式洗衣, 公用無線網路, 網際網路","NT$3,712"
敘美精品旅店,"台北排名第 47 的超值住宿地點，共 1,201 家","NT$2,447",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d4866564-Reviews-Beauty_Hotels_Taipei_Hotel_B7-Zhongzheng_District_Taipei.html,重慶南路一段111號,4.0,319,https://media-cdn.tripadvisor.com/media/photo-s/0e/3b/85/e1/caption.jpg,,,
皇家季節酒店台北南西館,"台北排名第 48 的超值住宿地點，共 1,201 家",NT$948,https://www.tripadvisor.com.tw/Hotel_Review-g293913-d1173001-Reviews-Royal_Seasons_Hotel_Taipei_Nanjing_West-Taipei.html,"南京西路326,330號",4.0,539,https://media-cdn.tripadvisor.com/media/photo-s/11/39/be/b9/double-deluxe-room--v17832497.jpg,,,"NT$1,039"
