title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,gmap_lat,gmap_lng,agoda_price
夏漾旅店,"屏東排名第 595 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d6561139-Reviews-Summer_Delight_Guest_House-Hengchun_Pingtung.html,21.96988868713379,120.75657653808594,,南灣路202號,3.0,屏東,恆春,"NT$1,052 - NT$2,969",5.0,6,https://media-cdn.tripadvisor.com/media/photo-s/0b/0e/26/4a/6.jpg,,禮賓服務,21.96109,120.76372,
晴陽光民宿,"屏東排名第 596 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13795594-d8781809-Reviews-Warm_Sunshine_Guest_House-Checheng_Pingtung.html,21.961090087890625,120.76371765136719,,忠孝路26-1號,3.0,屏東,車城,"NT$835 - NT$4,763",5.0,5,https://media-cdn.tripadvisor.com/media/photo-s/0a/94/ce/f5/1457886020644-largejpg.jpg,"套房, 客房服務, 小廚房","免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 餐廳, 兒童活動 (適合兒童/家庭), 機場接送, 提供上網服務的商務中心, 無線網路, 網際網路, 巴士接駁服務",22.07435,120.71295,
夕陽紅渡假莊園,"屏東排名第 597 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13795594-d9554605-Reviews-Red_Sun-Checheng_Pingtung.html,22.074350357055664,120.71295166015625,"NT$1,593",恆春鎮後灣路3-2號,3.5,屏東,車城,"NT$1,825 - NT$4,237",5.0,5,https://media-cdn.tripadvisor.com/media/photo-s/0a/f1/a6/a3/photo5jpg.jpg,,,22.04609,120.7025,
墾丁雀印民宿,"屏東排名第 598 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d8726087-Reviews-Check_In_Hotel-Hengchun_Pingtung.html,22.04608917236328,120.70249938964844,"NT$1,177",恆春古城恆西路33巷119號,3.0,屏東,恆春,"NT$1,299 - NT$3,402",4.0,6,https://media-cdn.tripadvisor.com/media/photo-s/09/83/2c/d2/caption.jpg,,,21.9445,120.79811,
八村旅店villa館,"屏東排名第 599 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g8840129-d7377546-Reviews-Eight_Villas_Resort_Spa-Liuqiu_Pingtung.html,21.944499969482422,120.79811096191406,,琉球鄉復興路161之11號,,屏東,琉球,"NT$3,186 - NT$6,495",3.5,11,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-s/19/03/02/cc/day.jpg,"禁菸客房, 套房, 家庭房","免費停車, 免費高速上網 (WiFi), 游泳池, 免費早餐, 允許攜帶寵物 (可帶狗/寵物), Spa, 禁菸飯店, 自助式洗衣, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 酒吧/酒廊, 餐廳",22.35293,120.37415,
春英悅來會館,"屏東排名第 600 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d6557728-Reviews-Spring_Inn_Nanwan_Road-Hengchun_Pingtung.html,22.352930068969727,120.37415313720703,"NT$2,087",恆春鎮南灣路224號,3.5,屏東,恆春,"NT$1,547 - NT$3,340",5.0,3,https://media-cdn.tripadvisor.com/media/photo-s/14/34/f2/e2/spring-inn-nanwan-road.jpg,,,21.96112,120.76311,
華僑的家,"屏東排名第 601 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806469-d9459248-Reviews-Expatriate_House-Donggang_Pingtung.html,22.33926773071289,120.37020111083984,NT$870,東港鎮新生一路8號,3.5,屏東,東港,"NT$990 - NT$2,969",,,,,,22.46668,120.43931,
貳樓旅店,"屏東排名第 602 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d7097153-Reviews-Second_Floor_Guest_House-Hengchun_Pingtung.html,22.4666805267334,120.4393081665039,"NT$8,420",恒春镇省北路1巷3弄26號,3.0,屏東,恆春,"NT$9,526 - NT$10,640",,,,,,22.00983,120.7427,
陽光&海民宿,"屏東排名第 603 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g297909-d7784540-Reviews-Kenting_Sun_Sea_B_B-Pingtung.html,22.009830474853516,120.7426986694336,NT$952,恆春鎮南灣路忠孝巷6弄1號,3.0,屏東,屏東的客棧和民宿,"NT$1,083 - NT$3,248",,,,"家庭房, 空調設施, 冰箱, 浴缸/淋浴間, 免費衛浴用品, 吹風機","免費高速上網 (WiFi), 行李存放, 禁菸飯店",21.95592,120.76952,
雅歌園民宿,"屏東排名第 604 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806956-d18743557-Reviews-Hakka_Eco_Farm-Wanluan_Pingtung.html,21.95591926574707,120.76952362060547,"NT$1,429",成德村溪寮路21號,3.0,屏東,萬巒,"NT$1,639 - NT$3,310",,,,,"免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 網際網路, 允許攜帶寵物 (可帶狗/寵物)",22.623016,120.60035,
雲莊休閒民宿,"屏東排名第 605 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13795594-d13189461-Reviews-Yunzhuang_leisure_bed_and_breakfast-Checheng_Pingtung.html,22.623016357421875,120.60034942626953,"NT$1,732",車城鄉保力路58之16號,3.0,屏東,車城,"NT$1,980 - NT$2,474",,,,,,22.05879,120.72795,
