title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,gmap_lat,gmap_lng,agoda_price
林森會館,高雄排名第 136 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806674-d2149999-Reviews-Linsen_Suite-Lingya_Kaohsiung.html,22.622894287109375,120.33153533935547,NT$606,苓雅區林森二路84號,3.0,高雄,苓雅,"NT$680 - NT$1,485",4.0,18,https://media-cdn.tripadvisor.com/media/daodao/photo-s/09/68/91/45/caption.jpg,"免費高速上網 (WiFi), 免費網際網路, 無線網路, 有健身房的健身中心, 餐廳, 提供上網服務的商務中心, 禁菸飯店, 自助式洗衣, 網際網路",禁菸客房,22.6189,120.30718,
巴黎香舎大飯店一心店,高雄排名第 137 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806806-d1744094-Reviews-Paris_Hotel_Kaohsiung_Yisin-Qianzhen_Kaohsiung.html,22.629470825195312,120.3388900756836,"NT$1,001",前鎮區一心二路15號,3.0,高雄,前鎮,"NT$1,144 - NT$2,289",4.0,8,https://media-cdn.tripadvisor.com/media/photo-s/0e/13/4f/15/caption.jpg,"免費高速上網 (WiFi), 免費網際網路, 餐廳, 提供早餐, 禮賓服務, 禁菸飯店, 乾洗服務, 自助式洗衣, 無線網路, 公用無線網路, 網際網路","禁菸客房, 空調設施, 客房服務, 冰箱",22.61032,120.31216,NT$736
皇家尊龍大酒店,高雄排名第 138 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808513-d1976645-Reviews-HOTEL_R_Kaohsiung-Xinxing_Kaohsiung.html,22.618900299072266,120.30718231201172,"NT$1,714",新興區七賢二路11號,3.5,高雄,新興,"NT$1,516 - NT$3,310",4.0,20,https://media-cdn.tripadvisor.com/media/photo-s/05/c4/aa/51/caption.jpg,"免費停車, 免費高速上網 (WiFi), 免費早餐, 兒童活動 (適合兒童/家庭), 巴士接駁服務, 提供上網服務的商務中心, 宴會廳, 禮賓服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 會議室, 禁菸飯店, 乾洗服務, 洗衣服務","禁菸客房, 套房, 家庭房, 空調設施, 房務, 客房服務, 迷你吧, 冰箱",22.63446,120.301476,
那旅 ,高雄排名第 139 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806674-d6533082-Reviews-Hotel_That-Lingya_Kaohsiung.html,22.610319137573242,120.3121566772461,NT$927,苓雅區新光路140巷41號,3.5,高雄,苓雅,"NT$1,083 - NT$2,474",3.5,57,https://media-cdn.tripadvisor.com/media/photo-s/05/c3/ee/fc/caption.jpg,"免費高速上網 (WiFi), 免費網際網路, 無線網路, 網際網路, 免費早餐, 酒吧/酒廊, 餐廳",套房,22.611917,120.29974,
亞漫主題套房-巨蛋館,高雄排名第 140 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808929-d5617466-Reviews-Aman_Theme_Suite_Arena_Hall-Zuoying_Kaohsiung.html,22.63446044921875,120.30147552490234,NT$935,左營區至真路531巷28號,2.5,高雄,左營,"NT$1,052 - NT$4,918",4.5,23,https://media-cdn.tripadvisor.com/media/photo-s/14/cb/77/e2/caption.jpg,"免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 允許攜帶寵物 (可帶狗/寵物), 禁菸飯店, 自助式洗衣, 網際網路","禁菸客房, 套房, 家庭房, 空調設施, 冰箱",22.673592,120.29793,
237旅店,高雄排名第 141 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808557-d10719075-Reviews-237_Hotel-Yancheng_Kaohsiung.html,22.61191749572754,120.29974365234375,"NT$1,006",七賢三路237號,3.0,高雄,鹽埕,"NT$1,144 - NT$2,413",4.0,10,https://media-cdn.tripadvisor.com/media/photo-s/12/9e/14/4e/photo6jpg.jpg,"免費停車, 免費高速上網 (WiFi), 免費早餐, 兒童活動 (適合兒童/家庭), 允許攜帶寵物 (可帶狗/寵物), 巴士接駁服務, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 網際網路, 提供早餐","禁菸客房, 套房, 家庭房, 空調設施, 冰箱",22.63124,120.28506,
圈叉行旅,高雄排名第 142 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808557-d13091890-Reviews-OX_Suites-Yancheng_Kaohsiung.html,22.67359161376953,120.29792785644531,"NT$1,016",鹽埕區五福四路272號,3.5,高雄,鹽埕,"NT$1,175 - NT$2,351",5.0,4,https://media-cdn.tripadvisor.com/media/photo-s/15/fb/c1/45/room.jpg,,,22.625076,120.28074,
香格里拉精緻飯店,高雄排名第 143 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806846-d1744091-Reviews-Hsiangkelira_Hotel-Sanmin_Kaohsiung.html,22.631240844726562,120.2850570678711,"NT$1,090",三民區建國二路208號,3.5,高雄,三民,"NT$1,237 - NT$1,794",4.0,15,https://media-cdn.tripadvisor.com/media/photo-s/09/db/c4/e1/caption.jpg,"免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 無線網路, 公用無線網路, 網際網路, 餐廳","禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 冰箱",22.63765,120.30647,
波波驛棧青年旅館,高雄排名第 144 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808557-d8154623-Reviews-Bobo_Hostel-Yancheng_Kaohsiung.html,22.625076293945312,120.2807388305664,"NT$1,000",莒光街155號2樓,,高雄,鹽埕,"NT$402 - NT$1,175",5.0,11,https://media-cdn.tripadvisor.com/media/photo-s/08/48/42/fb/caption.jpg,"免費高速上網 (WiFi), 免費網際網路, 無線網路, 網際網路",,22.62341,120.28447,
寓見,高雄排名第 145 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806674-d6533179-Reviews-Apato_Cityhome-Lingya_Kaohsiung.html,22.637649536132812,120.30647277832031,"NT$1,214",自強三路94號 2F,3.0,高雄,苓雅,"NT$1,392 - NT$2,567",5.0,9,https://media-cdn.tripadvisor.com/media/photo-s/0e/c8/b4/50/tour-de-bureaux-a-proximite.jpg,"免費高速上網 (WiFi), 免費網際網路, 無線網路, 網際網路, 洗衣服務",空調設施,22.61431,120.2997,
輕旅店,高雄排名第 146 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806674-d9554649-Reviews-Travel_Young_Hotel-Lingya_Kaohsiung.html,22.623409271240234,120.28446960449219,NT$648,苓雅區新光路26號之4,3.0,高雄,苓雅,"NT$711 - NT$3,062",4.0,16,https://media-cdn.tripadvisor.com/media/photo-s/0a/23/a0/e5/travel-young-hotel.jpg,免費網際網路,,22.61194,120.30358,
亞特艾斯主題套房-三多館,高雄排名第 147 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806806-d7197266-Reviews-Arteyes_Theme_Suite_SunDon_Hall-Qianzhen_Kaohsiung.html,22.614309310913086,120.29969787597656,NT$695,前鎮區新光路21號,2.5,高雄,前鎮,"NT$773 - NT$2,815",4.5,20,https://media-cdn.tripadvisor.com/media/photo-s/07/bf/58/ab/caption.jpg,"免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 禁菸飯店, 自助式洗衣","禁菸客房, 套房, 家庭房, 空調設施",22.61146,120.30416,
星旅店,高雄排名第 148 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808513-d3658744-Reviews-Star_Inn-Xinxing_Kaohsiung.html,22.611940383911133,120.30358123779297,"NT$1,091",南華横一路14號,3.0,高雄,新興,"NT$1,237 - NT$1,763",4.0,19,https://media-cdn.tripadvisor.com/media/photo-s/09/9e/f4/48/caption.jpg,,,22.63506,120.30715,
伊甸風情精品旅館,高雄排名第 149 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806615-d6164570-Reviews-Eden_Exoticism-Gushan_Kaohsiung.html,22.611459732055664,120.30416107177734,"NT$2,494",鼓山區裕誠路1685號,3.5,高雄,鼓山,"NT$2,567 - NT$4,052",4.5,9,https://media-cdn.tripadvisor.com/media/photo-s/0e/51/20/fd/caption.jpg,"免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 浴缸, 巴士接駁服務, 禮賓服務, 禁菸飯店, 網際網路","禁菸客房, 套房, 空調設施, 迷你吧, 冰箱",22.65991,120.29435,
國星商務旅店,高雄排名第 150 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806846-d2026368-Reviews-Kou_Sin_Hotel-Sanmin_Kaohsiung.html,22.635059356689453,120.3071517944336,"NT$1,060",同愛街81號 Near Kaohsiung Main Station,3.0,高雄,三民,"NT$1,021 - NT$2,351",4.5,8,https://media-cdn.tripadvisor.com/media/photo-s/0b/d2/04/ab/20160702-180820-largejpg.jpg,"免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 禮賓服務, 禁菸飯店","禁菸客房, 空調設施, 客房服務",22.64206,120.31767,
西子灣沙灘會館,高雄排名第 151 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806615-d1823568-Reviews-Sizihwan_Sunset_Beach_Resort-Gushan_Kaohsiung.html,22.73064422607422,120.4015121459961,"NT$2,649",鼓山區蓮海路51號,4.0,高雄,鼓山,"NT$2,289 - NT$3,773",3.5,35,https://media-cdn.tripadvisor.com/media/photo-s/06/42/cf/bf/caption.jpg,"免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 餐廳, 海灘, 乾洗服務, 洗衣服務, 無線網路, 公用無線網路, 網際網路","家庭房, 空調設施, 冰箱",22.62456,120.264755,
文賓大飯店 - 駁二館,高雄排名第 152 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808557-d582022-Reviews-Wen_Pin_Hotel_Pier_2-Yancheng_Kaohsiung.html,22.62455940246582,120.26475524902344,NT$866,鹽埕區大勇路22號,3.5,高雄,鹽埕,"NT$866 - NT$1,980",4.0,44,https://media-cdn.tripadvisor.com/media/photo-s/10/74/1e/36/caption.jpg,"免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 提供上網服務的商務中心, 禁菸飯店, 乾洗服務, 自助式洗衣, 無線網路, 公用無線網路, 網際網路, 餐廳","禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧",22.62127,120.28262,
R10 環保文旅,高雄排名第 153 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808513-d11913763-Reviews-R10_Eco_Hotel-Xinxing_Kaohsiung.html,22.62126922607422,120.28262329101562,NT$649,新興區中山一路240號11F,3.0,高雄,新興,"NT$773 - NT$1,516",4.0,9,https://media-cdn.tripadvisor.com/media/photo-s/12/56/f7/41/caption.jpg,"附近有付費私人停車場, 路邊停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費提供茶, 限成人, 24 小時服務櫃台, 網際網路","禁菸客房, 套房, 遮光窗簾, 空調設施, 電話, 瓶裝水, 喚醒服務/鬧鐘, 電熱水壺",22.63413,120.30246,
都會商旅愛河七賢館,高雄排名第 154 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806805-d2017872-Reviews-M_Hotel-Qianjin_Kaohsiung.html,22.634130477905273,120.30245971679688,NT$935,前金區七賢二路231號,3.0,高雄,前金,"NT$897 - NT$2,382",3.5,61,https://media-cdn.tripadvisor.com/media/photo-s/0d/d3/0f/52/caption.jpg,"免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 禁菸飯店","禁菸客房, 空調設施",22.632156,120.29298,
瑞宮商務旅館,高雄排名第 155 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806846-d2445549-Reviews-Ruei_Gung_Business_Hotel-Sanmin_Kaohsiung.html,22.632156372070312,120.29297637939453,NT$546,三民區建國二路209號,2.5,高雄,三民,"NT$650 - NT$1,268",3.5,12,https://media-cdn.tripadvisor.com/media/photo-s/11/cb/c1/e9/20180112-195009-largejpg.jpg,,,22.63737,120.30586,
春風時尚汽車旅館,高雄排名第 156 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808929-d2210643-Reviews-Spring_Breeze_Motel-Zuoying_Kaohsiung.html,22.63736915588379,120.30586242675781,"NT$1,108",左營區重上街117號,,高雄,左營,"NT$1,052 - NT$1,763",3.5,3,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-s/16/cd/52/48/facadeentrance.jpg,"無線網路, 公用無線網路, 網際網路, 禁菸飯店","禁菸客房, 客房服務",22.67483,120.30681,
