title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,agoda_price,gmap_lat,gmap_lng
嘉義小青旅,嘉義排名第 45 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d8354273-Reviews-Petite_Hostel-West_District_Chiayi.html,23.48113441467285,120.44376373291016,"NT$1,097",西區番社里林森西路460號,2.0,嘉義,西區,"NT$494 - NT$1,422",5.0,17,https://media-cdn.tripadvisor.com/media/photo-s/12/cc/77/97/caption.jpg,小廚房,"免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 禁菸飯店, 自助式洗衣",,23.481134,120.44376
都市叢林汽車旅館,嘉義排名第 46 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d2458436-Reviews-Jungle_City_Motel-West_District_Chiayi.html,23.48583984375,120.42733001708984,"NT$1,022",四維路269號,3.0,嘉義,西區,"NT$1,174 - NT$2,534",4.0,5,https://media-cdn.tripadvisor.com/media/photo-s/11/01/7f/e2/photo0jpg.jpg,"禁菸客房, 客房服務","無線網路, 公用無線網路, 網際網路, 禁菸飯店",,23.48584,120.42733
鼎川大飯店,嘉義排名第 47 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d2458224-Reviews-River_Hotel-West_District_Chiayi.html,23.482759475708008,120.43364715576172,"NT$1,039",友愛路207號,3.0,嘉義,西區,"NT$1,144 - NT$2,843",3.5,8,https://media-cdn.tripadvisor.com/media/photo-s/0f/4e/64/28/2f.jpg,"禁菸客房, 家庭房, 空調設施, 客房服務, 冰箱","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 禮賓服務, 禁菸飯店",,23.48276,120.43365
順億商務旅館,嘉義排名第 48 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d6635828-Reviews-Shun_yi_Business_Hotel-West_District_Chiayi.html,23.47818946838379,120.44145965576172,,中山路617號10樓,,嘉義,西區,"NT$989 - NT$2,163",4.0,8,https://media-cdn.tripadvisor.com/media/photo-s/05/fa/76/6a/caption.jpg,,,,23.47819,120.44146
樂億皇家渡假酒店,嘉義排名第 49 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d8419539-Reviews-Look_Royal_Resort-West_District_Chiayi.html,23.469989776611328,120.41795349121094,"NT$2,441",西區玉山路501號,3.5,嘉義,西區,"NT$2,133 - NT$3,523",3.5,32,https://media-cdn.tripadvisor.com/media/photo-s/09/fa/86/e0/caption.jpg,,免費網際網路,,23.46999,120.41795
香緹汽車旅館,嘉義排名第 50 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d2445660-Reviews-Shantis_Motel-West_District_Chiayi.html,23.482749938964844,120.43121337890625,"NT$1,714",西區八德路2號,4.0,嘉義,西區,"NT$1,947 - NT$2,596",3.5,4,https://static.tacdn.com/img2/branding/rebrand/TA_brand_logo.png,客房服務,,,23.48275,120.43121
書旅拾光,嘉義排名第 51 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d12351957-Reviews-Bobooks-West_District_Chiayi.html,23.47863006591797,120.44468688964844,,東區中正路597號,2.0,嘉義,西區,"NT$587 - NT$1,391",5.0,4,https://media-cdn.tripadvisor.com/media/photo-s/10/e5/9a/ea/imag1322-largejpg.jpg,免費高速上網 (WiFi),,,23.47863,120.44469
歐遊國際連鎖精品旅館-嘉義摩登館,嘉義排名第 52 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d2017882-Reviews-Allur_Chain_Boutique_Motel_Classic_Suite_Gallary-West_District_Chiayi.html,23.48210906982422,120.42701721191406,"NT$1,662",四維路185號,3.0,嘉義,西區,"NT$1,885 - NT$3,678",3.5,7,https://static.tacdn.com/img2/branding/rebrand/TA_brand_logo.png,"禁菸客房, 家庭房, 空調設施, 冰箱","免費高速上網 (WiFi), 免費網際網路, 無線網路, 餐廳, 保姆服務, 兒童活動 (適合兒童/家庭), 禮賓服務, 禁菸飯店, 公用無線網路, 網際網路",,23.48211,120.42702
馨邑文旅,嘉義排名第 53 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808399-d9838617-Reviews-Xinyi_Hotel-West_District_Chiayi.html,23.47747039794922,120.442626953125,,東區光彩街563號,3.0,嘉義,西區,,,,,,,,23.47747,120.44263
香林薇拉民宿,嘉義排名第 54 的超值住宿地點，共 122 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806498-d2247622-Reviews-Village_Villa_B_B-East_District_Chiayi.html,23.48267936706543,120.4627685546875,,竹崎鄉竹崎村中山路6巷1號 ,3.0,嘉義,東區,"NT$1,947 - NT$2,596",4.5,14,https://media-cdn.tripadvisor.com/media/photo-s/05/b0/25/ae/caption.jpg,"禁菸客房, 套房, 家庭房, 小廚房","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 餐廳, 提供上網服務的商務中心, 禁菸飯店, 公用無線網路, 網際網路",,23.48268,120.46277
