title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,gmap_lat,gmap_lng,agoda_price
三道門建築文創旅店,"台南排名第 11 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d10157440-Reviews-3_Door_Hotel-West_Central_District_Tainan.html,22.997669219970703,120.20841979980469,"NT$1,803",中西區成功路77號,3.5,台南,中西區,"NT$2,196 - NT$3,959",4.5,281,https://media-cdn.tripadvisor.com/media/daodao/photo-s/0f/80/6d/fa/photo1jpg.jpg,"禁菸客房, 家庭房, 空調設施, 私人陽台, 冰箱","免費高速上網 (WiFi), 免費網際網路, 酒吧/酒廊, 餐廳, 會議室, 禮賓服務, 禁菸飯店, 洗衣服務, 無線網路, 公用無線網路, 網際網路, 提供早餐",22.99767,120.20842,
台南大員皇冠假日酒店,"台南排名第 12 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13792460-d11807473-Reviews-Crowne_Plaza_Tainan-Anping_Tainan.html,22.999683380126953,120.14913940429688,"NT$2,895",安平區州平路289號,4.5,台南,安平,"NT$3,279 - NT$6,310",4.5,190,https://static.tacdn.com/img2/branding/rebrand/TA_brand_logo.png,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 客房服務, 迷你吧, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 兒童活動 (適合兒童/家庭), 提供上網服務的商務中心, 會議設施, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 室內游泳池, 餐廳, 提供早餐, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 洗衣服務",22.999683,120.14914,
和逸飯店-台南西門館,"台南排名第 13 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d6931612-Reviews-HOTEL_COZZI_Ximen_Tainan-West_Central_District_Tainan.html,22.986751556396484,120.19801330566406,"NT$2,925",西門路一段658之2號,4.0,台南,中西區,"NT$3,310 - NT$6,959",4.5,562,https://media-cdn.tripadvisor.com/media/photo-s/07/f5/cd/f3/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 書桌, 冰箱, 平板電視, 浴缸/淋浴間, 保險箱, 沙發, 電話, 衣櫃/壁櫥, 瓶裝水, 衣架, 熨斗, 筆記型電腦保險箱, 私人浴室, 喚醒服務/鬧鐘, 電熱水壺, 免費衛浴用品, 吹風機","免費停車, 免費高速上網 (WiFi), 免費早餐, 兒童遊樂場, 室內兒童遊樂區, 會議設施, 會議室, 禮賓服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 提供早餐, 自助式早餐, 適合兒童的自助餐, 兒童活動 (適合兒童/家庭), 兒童戶外遊樂設施, 有兒童椅, 禁菸飯店, 24 小時辦理入住, 24 小時服務櫃台, 乾洗服務",22.986752,120.19801,"NT$2,925"
古根文旅,"台南排名第 14 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d8416930-Reviews-Tainan_Roots_Inn-West_Central_District_Tainan.html,22.991897583007812,120.19761657714844,"NT$2,061",中西區友愛街148號,3.0,台南,中西區,"NT$2,382 - NT$4,114",4.5,144,https://media-cdn.tripadvisor.com/media/photo-s/08/50/62/66/getlstd-property-photo.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視","免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 餐廳, 會議設施, 禮賓服務, 禁菸飯店, 公用無線網路, 網際網路, 提供早餐",22.991898,120.19762,
榮美金鬱金香酒店,"台南排名第 15 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806773-d7227443-Reviews-Golden_Tulip_Glory_Fine_Hotel_Tainan-North_District_Tainan.html,23.001827239990234,120.1993179321289,"NT$2,468",北區海安路三段50號,4.0,台南,北區,"NT$2,258 - NT$3,835",4.5,121,https://media-cdn.tripadvisor.com/media/photo-s/0b/c5/94/92/glory-suite-b--v12817059.jpg,客房服務,,23.001827,120.19932,
桂田酒店,"台南排名第 16 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808624-d648903-Reviews-Queena_Plaza_Hotel-Yongkang_Tainan.html,23.04400634765625,120.24275970458984,"NT$2,700",永康區永安一街99號,4.5,台南,永康,"NT$2,876 - NT$11,444",4.0,199,https://media-cdn.tripadvisor.com/media/photo-s/03/57/31/3b/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 巴士接駁服務, 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 網際網路, 室外游泳池, 酒吧/酒廊, 餐廳, 自助式早餐, 宴會廳, 會議室, Spa, 禁菸飯店, 乾洗服務, 洗衣服務",23.044006,120.24276,
富華大飯店,"台南排名第 17 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d5521579-Reviews-Fuward_Hotel_Tainan-West_Central_District_Tainan.html,22.991729736328125,120.20287322998047,"NT$1,371",中西區忠義路二段28號,3.5,台南,中西區,"NT$1,547 - NT$2,598",4.5,175,https://media-cdn.tripadvisor.com/media/photo-s/0f/01/b5/40/2-double-beds.jpg,"禁菸客房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 餐廳, 巴士接駁服務, 提供上網服務的商務中心, 禁菸飯店, 乾洗服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 自助式早餐, 洗衣服務",22.99173,120.20287,
承億輕旅台南館,"台南排名第 18 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d7598687-Reviews-Light_Hostel_Tainan-West_Central_District_Tainan.html,22.991857528686523,120.19548034667969,"NT$1,027",中西區友愛街309巷20號,2.0,台南,中西區,"NT$557 - NT$2,753",4.5,274,https://media-cdn.tripadvisor.com/media/photo-s/09/c1/75/e2/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 小廚房, 微波爐, 冰箱","免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 提供上網服務的商務中心, 禮賓服務, 禁菸飯店, 自助式洗衣, 網際網路",22.991858,120.19548,
窩。台南背包客棧,"台南排名第 19 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d5489424-Reviews-Wow_Tainan_International_Hostel-West_Central_District_Tainan.html,22.9892578125,120.20865631103516,"NT$1,000",府前路一段90巷7號,2.0,台南,中西區,"NT$495 - NT$2,505",4.5,165,https://media-cdn.tripadvisor.com/media/photo-s/07/4b/23/78/caption.jpg,"禁菸客房, 套房, 家庭房, 小廚房","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 免費早餐, 禁菸飯店, 自助式洗衣",22.989258,120.20866,
日‧木‧Hinoki,"台南排名第 20 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d8818759-Reviews-Hinoki_Mansion-West_Central_District_Tainan.html,22.993894577026367,120.20865631103516,NT$881,中西區衛民街與中山路82巷交叉口,2.5,台南,中西區,"NT$928 - NT$2,382",5.0,149,https://media-cdn.tripadvisor.com/media/photo-s/0a/19/2b/17/room-space.jpg,"禁菸客房, 套房, 空調設施","免費高速上網 (WiFi), 免費網際網路, 提供上網服務的商務中心, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 自助式洗衣, 無線網路, 公用無線網路, 網際網路",22.993895,120.20866,
