username,profile_uri,comment_date,hotel_name,UID
 Departure6613101, ,住宿日期： 2016年7月,JV客棧 (大安) JV's Hostel,UID_4B18837B5420C47DDD235EE0A107770F-SRC_400227699
 Maps6609681, ,住宿日期： 2019年7月,城市商旅-南東館 (松山) City Suites Taipei Nandong,UID_5AD0F14AEA0C8EA4499E3A95CFDDD215-SRC_690395107
 Climber638710111, ,住宿日期： 2019年7月,城市商旅-南東館 (松山) City Suites Taipei Nandong,UID_3EFA9D1879EABAF3B27A24B23B49EE31-SRC_689145296
 Hopefulbigbear1, ,住宿日期： 2019年5月,城市商旅-南東館 (松山) City Suites Taipei Nandong,UID_B5FE5EFA4477966B6E76F82448966764-SRC_671322096
 gaver59571, ,住宿日期： 2019年4月,城市商旅-南東館 (松山) City Suites Taipei Nandong,UID_CA4953377AFB90560712D943AE36BEA1-SRC_664177538
 Yv0nn3chan5655, ,住宿日期： 2019年2月,城市商旅-南東館 (松山) City Suites Taipei Nandong,UID_9A3A2E55EDAAD5736C3E5630BD8D89BF-SRC_663229767
YING TZU CHI,https://www.tripadvisor.com.tw/Profile/Trista-Chi,昨天,誠品行旅 (信義區)Eslite Hotel, 
玉玲 盧,https://www.tripadvisor.com.tw/Profile/H1907BQ_,8月12日,誠品行旅 (信義區)Eslite Hotel, 
Chung,https://www.tripadvisor.com.tw/Profile/Chung0728,8月11日,誠品行旅 (信義區)Eslite Hotel, 
Calli lin,https://www.tripadvisor.com.tw/Profile/CalliLin,8月5日,誠品行旅 (信義區)Eslite Hotel, 
NANAinTaiwan,https://www.tripadvisor.com.tw/Profile/NANAinTaiwan,8月3日,誠品行旅 (信義區)Eslite Hotel, 
 twohd1, ,住宿日期： 2019年7月,方舟旅店 - 東門館 (中正區) ARK Hotel Dongmen,UID_707DB38E7661D99C07C9B4CC585EC1C9-SRC_688591112
 alykk台灣台北31, ,,方舟旅店 - 東門館 (中正區) ARK Hotel Dongmen,UID_1E649821114B485587E4F55F481B3BB0-SRC_698137921
 PIGPIGHK香港270115, ,住宿日期： 2019年6月,方舟旅店 - 東門館 (中正區) ARK Hotel Dongmen,UID_5258A9707DA64EEFB4728B114E0D5642-SRC_681770022
 Wanderer805101台灣台南27, ,住宿日期： 2019年4月,方舟旅店 - 東門館 (中正區) ARK Hotel Dongmen,UID_AEBD9A0D18A3CF811BBD8F8800B69950-SRC_669535413
 225crystalw11, ,住宿日期： 2019年4月,方舟旅店 - 東門館 (中正區) ARK Hotel Dongmen,UID_BD5B59D29DFA4CDDE518B892AC8C65C5-SRC_668371462
KEVIN YANG,https://www.tripadvisor.com.tw/Profile/kevin930043,8月10日,台北萬豪酒店 (中山區)Taipei Marriott Hotel, 
Pulmbubble,https://www.tripadvisor.com.tw/Profile/sar77107,2019年7月,台北萬豪酒店 (中山區)Taipei Marriott Hotel, 
NancyC,https://www.tripadvisor.com.tw/Profile/Q1461FNnancyc,2019年7月,台北萬豪酒店 (中山區)Taipei Marriott Hotel, 
Hsiang-Yun C,https://www.tripadvisor.com.tw/Profile/Connector697024,2019年7月,台北萬豪酒店 (中山區)Taipei Marriott Hotel, 
F.S.Taipei,https://www.tripadvisor.com.tw/Profile/FSTaipei,2019年7月,台北萬豪酒店 (中山區)Taipei Marriott Hotel, 
 yhn555661, ,住宿日期： 2019年8月,瘋台北青旅 (中正區) Fun Inn Taipei,UID_7A256DDF32B2A6F9107FF6C1A62408CB-SRC_697509558
 lin54601, ,住宿日期： 2019年8月,瘋台北青旅 (中正區) Fun Inn Taipei,UID_4B0DA3E818D5C78510682A588FCC159E-SRC_697509518
 rock099301, ,住宿日期： 2019年8月,瘋台北青旅 (中正區) Fun Inn Taipei,UID_2D06ADA2FDEC87140111E6F1E63F3E2D-SRC_697509083
 ntnuliao1, ,住宿日期： 2019年7月,瘋台北青旅 (中正區) Fun Inn Taipei,UID_D0BB40BAA53AE5298606BBCC17DF3B34-SRC_693021419
 yenlin07021, ,住宿日期： 2019年7月,瘋台北青旅 (中正區) Fun Inn Taipei,UID_1AF8854ABDE07D8DE47FEF659C4C31CF-SRC_692082011
 fionw1612, ,住宿日期： 2019年7月,儷客旅店-西門町館 (萬華) Click Hotel - Ximending Branch,UID_82052DEED636F2061E4CCF92E564AA92-SRC_691906500
 LUA310442, ,住宿日期： 2018年10月,儷客旅店-西門町館 (萬華) Click Hotel - Ximending Branch,UID_3E9444DC1DF204BF3761A978A1BEC592-SRC_691563489
 low9134901, ,住宿日期： 2019年7月,儷客旅店-西門町館 (萬華) Click Hotel - Ximending Branch,UID_984C17A8EFE4263E6497FE233C99C0E4-SRC_691349006
" Forrest03Hong Kong, null, Hong Kong4814", ,,儷客旅店-西門町館 (萬華) Click Hotel - Ximending Branch,UID_5DE8E4BB6B4B97D94533519C51C93FDA-SRC_692018847
 TaiJai07071, ,住宿日期： 2019年7月,儷客旅店-西門町館 (萬華) Click Hotel - Ximending Branch,UID_0576ADEF17C8FBED289C3A26548C5141-SRC_688302469
 vincentc38419433, ,住宿日期： 2019年8月,喜來登大飯店 (中正區) Sheraton Grand Taipei Hotel,UID_D488EDE7B53CE6356C6CCC62138EF628-SRC_694985596
 krystalching台灣高雄8, ,住宿日期： 2019年7月,喜來登大飯店 (中正區) Sheraton Grand Taipei Hotel,UID_44E1C3573DD9FC1C728AF917B61C6899-SRC_693586185
 Steve K麻薩諸塞州波士頓204, ,,喜來登大飯店 (中正區) Sheraton Grand Taipei Hotel,UID_186C639114FB85A3CC007C998590091C-SRC_690158423
 一位來自中國的 TripAdvisor 會員, ,住宿日期： 2019年6月,喜來登大飯店 (中正區) Sheraton Grand Taipei Hotel,
 wang2383台灣龍井250510815, ,住宿日期： 2019年6月,喜來登大飯店 (中正區) Sheraton Grand Taipei Hotel,UID_96271719E3E5E890AA8A4739C0F04029-SRC_681850788
LiisaTravelFI,https://www.tripadvisor.com.tw/Profile/Ambassador814822,2019年6月,麗都飯店 (大安)Rido Hotel Taipei, 
bkoustubh,https://www.tripadvisor.com.tw/Profile/bkoustubh,2019年1月,麗都飯店 (大安)Rido Hotel Taipei, 
te-chang,https://www.tripadvisor.com.tw/Profile/te-chang,2018年9月,麗都飯店 (大安)Rido Hotel Taipei, 
Paradise698179,https://www.tripadvisor.com.tw/Profile/Paradise698179,2018年9月,麗都飯店 (大安)Rido Hotel Taipei, 
Becky,https://www.tripadvisor.com.tw/Profile/chhi1126,2018年6月,麗都飯店 (大安)Rido Hotel Taipei, 
 183simonc英國Fair Oak216, ,,松哖酒店 (大安) Sonnien Hotel,UID_15EFB501D5F7C895AEF02A3DE49D3F7D-SRC_685798587
 YLIMNELLTAIPEI2, ,住宿日期： 2019年5月,松哖酒店 (大安) Sonnien Hotel,UID_66C11AE1E64C248E30DB32A0B352200C-SRC_674082785
 361kevinn加拿大多倫多20042, ,,松哖酒店 (大安) Sonnien Hotel,UID_528270CF154CAAF677FD547594C366E6-SRC_673923092
 kapo012香港6, ,住宿日期： 2019年4月,松哖酒店 (大安) Sonnien Hotel,UID_6F435F551C5F977DF5221EC5A4B7033B-SRC_668239792
