title,paiming,recommend_price,uri,hotel_address,avg_rating,comment_count,offical_img_uri,facility,property,agoda_price
信星旅馆 - 台北車站,"台北排名第 13 的超值住宿地點，共 1,199 家","NT$2,849",https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d6925013-Reviews-Star_Hostel_Taipei_Main_Station-Datong_Taipei.html,大同區華陰街50號4樓,4.5,409,https://media-cdn.tripadvisor.com/media/photo-s/10/1e/51/bf/photo0jpg.jpg,"['禁菸客房', '家庭房', '空調設施', '小廚房']","['免費高速上網 (WiFi)', '免費網際網路', '無線網路', '公用無線網路', '免費早餐', '禁菸飯店', '洗衣服務', '自助式洗衣']",
台北王朝大酒店,"台北排名第 14 的超值住宿地點，共 1,199 家","NT$3,262",https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d306449-Reviews-Sunworld_Dynasty_Hotel_Taipei-Songshan_Taipei.html,松山區敦化北路100號,4.0,1109,https://media-cdn.tripadvisor.com/media/photo-s/15/28/83/10/sunworld-dynasty-hotel.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '客房服務', '迷你吧', '冰箱', '平板電視']","['免費停車', '免費高速上網 (WiFi)', '游泳池', '有健身房的健身中心', '餐廳', '機場接送', '提供上網服務的商務中心', '會議設施']","NT$3,425"
天成文旅-華山町,"台北排名第 15 的超值住宿地點，共 1,199 家","NT$2,041",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d14187606-Reviews-Hua_Shan_Din_by_Cosmos_Creation-Zhongzheng_District_Taipei.html,忠孝東路二段79號,5.0,117,https://media-cdn.tripadvisor.com/media/photo-s/13/8e/41/c4/getlstd-property-photo.jpg,['禁菸客房'],"['免費高速上網 (WiFi)', '免費網際網路', '免費早餐', '酒吧/酒廊', '機場接送', '禮賓服務', '禁菸飯店', '自助式洗衣']",
台北西門町意舍,"台北排名第 16 的超值住宿地點，共 1,199 家","NT$2,358",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2347774-Reviews-Amba_Taipei_Ximending-Wanhua_Taipei.html,武昌街二段77號1樓、5樓-10樓,4.5,933,https://media-cdn.tripadvisor.com/media/photo-s/12/cf/10/21/newly-refurbished-medium.jpg,"['禁菸客房', '家庭房', '空調設施', '房務', '衣櫃/壁櫥', '迷你吧', '第四台/衛星電視', '步入式淋浴間']","['現場付費公共停車場', '免費高速上網 (WiFi)', '酒吧/酒廊', '嬰兒推車', '包車', '傳真/影印', '禮賓服務', '禁菸飯店']","NT$2,357"
老爺會館台北南西- 捷運中山站,"台北排名第 17 的超值住宿地點，共 1,199 家","NT$3,117",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d308595-Reviews-Royal_Inn_Taipei_Nanxi_MRT_Zhongshan_Station-Zhongshan_District_Taipei.html,南京西路1號 8樓 (鄰近台北捷運中山站),4.0,411,https://media-cdn.tripadvisor.com/media/photo-s/0f/a5/48/79/caption.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '冰箱', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '免費早餐', '會議室', '禮賓服務', '禁菸飯店', '乾洗服務', '自助式洗衣']",
喜瑞飯店,"台北排名第 18 的超值住宿地點，共 1,199 家","NT$4,458",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d598759-Reviews-Ambience_Hotel-Zhongshan_District_Taipei.html,長安東路一段64號,4.5,1847,https://media-cdn.tripadvisor.com/media/photo-s/0d/a2/ac/06/caption.jpg,"['禁菸客房', '家庭房', '空調設施', '保險箱', '迷你吧', '冰箱', '平板電視']","['停車', '免費高速上網 (WiFi)', '免費網際網路', '免費早餐', '禮賓服務', '禁菸飯店', '乾洗服務', '洗衣服務']","NT$4,001"
台北華國大飯店,"台北排名第 19 的超值住宿地點，共 1,199 家","NT$3,442",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d306188-Reviews-Imperial_Hotel_Taipei-Zhongshan_District_Taipei.html,中山區林森北路600號,4.0,1000,https://media-cdn.tripadvisor.com/media/photo-s/09/9a/95/1a/club-deluxe-room-king--v8742145.jpg,,,
福泰桔子商務旅館 西門店,"台北排名第 20 的超值住宿地點，共 1,199 家","NT$2,176",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d3862269-Reviews-Orange_Hotel_Ximen_Taipei-Wanhua_Taipei.html,萬華區中華路一段166號之2,4.5,406,https://media-cdn.tripadvisor.com/media/photo-s/0e/77/a9/73/caption.jpg,"['禁菸客房', '家庭房', '空調設施', '保險箱', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '無線網路', '公用無線網路', '網際網路', '免費早餐', '自助式早餐', '禁菸飯店']","NT$2,424"
台北中山意舍酒店,"台北排名第 21 的超值住宿地點，共 1,199 家","NT$2,371",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d7738019-Reviews-Amba_Taipei_Zhongshan-Zhongshan_District_Taipei.html,中山北路二段57-1號,4.5,412,https://media-cdn.tripadvisor.com/media/photo-s/08/ba/0e/e8/amba-taipei-zhongshan.jpg,"['禁菸客房', '家庭房', '空調設施', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '酒吧/酒廊', '餐廳', '禮賓服務', '禁菸飯店', '乾洗服務', '洗衣服務']","NT$3,831"
台北燦路都飯店,"台北排名第 22 的超值住宿地點，共 1,199 家","NT$1,824",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d478062-Reviews-Hotel_Sunroute_Taipei-Zhongshan_District_Taipei.html,中山區民權東路一段9號,4.0,455,https://media-cdn.tripadvisor.com/media/photo-s/16/a7/4c/83/caption.jpg,"['禁菸客房', '空調設施', '保險箱', '冰箱', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '餐廳', '提供早餐', '機場接送', '禁菸飯店', '乾洗服務', '洗衣服務']","NT$2,269"
蜂巢旅店,"台北排名第 23 的超值住宿地點，共 1,199 家","NT$3,556",https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d4134607-Reviews-Bee_House_Taipei_Station_Branch-Datong_Taipei.html,大同區太原路57號,4.5,1538,https://media-cdn.tripadvisor.com/media/photo-s/09/b8/ff/b0/deluxe-triple-room-single-beds--v.jpg,"['禁菸客房', '家庭房', '空調設施', '房務', '保險箱', '冰箱', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '餐廳', '提供早餐', '禮賓服務', '禁菸飯店', '洗衣服務', '自助式洗衣']","NT$3,400"
伸適商旅,"台北排名第 24 的超值住宿地點，共 1,199 家","NT$2,232",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d1218729-Reviews-Hotel_Sense-Zhongshan_District_Taipei.html,中山區林森北路477號,4.0,199,https://media-cdn.tripadvisor.com/media/photo-s/0b/c2/f1/e2/deluxe-room.jpg,,,"NT$2,589"
喜來登大飯店,"台北排名第 25 的超值住宿地點，共 1,199 家","NT$1,991",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d301805-Reviews-Sheraton_Grand_Taipei_Hotel-Zhongzheng_District_Taipei.html,忠孝東路一段12號,4.0,1703,https://media-cdn.tripadvisor.com/media/photo-s/18/00/24/75/lobby.jpg,,,"NT$2,165"
薆悅精品,"台北排名第 26 的超值住宿地點，共 1,199 家","NT$2,597",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d8700927-Reviews-Inhouse_Boutique-Wanhua_Taipei.html,萬華區成都路27巷8號,4.5,154,https://media-cdn.tripadvisor.com/media/photo-s/0e/29/22/f0/caption.jpg,"['禁菸客房', '套房', '空調設施', '冰箱', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '無線網路', '公用無線網路', '免費早餐', '酒吧/酒廊', '餐廳', '禁菸飯店']",
福泰桔子商務旅館 - 開封店,"台北排名第 27 的超值住宿地點，共 1,199 家","NT$9,600",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1020693-Reviews-Orange_Hotel_Kaifong-Zhongzheng_District_Taipei.html,中正區開封街一段41號,4.0,219,https://media-cdn.tripadvisor.com/media/photo-s/0d/fe/dc/99/caption.jpg,"['禁菸客房', '套房', '空調設施', '冰箱', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '無線網路', '公用無線網路', '網際網路', '提供早餐', '禁菸飯店']","NT$5,800"
好得文旅,"台北排名第 28 的超值住宿地點，共 1,199 家","NT$2,785",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d10387162-Reviews-Chill_Roof_Hotel-Zhongshan_District_Taipei.html,南京東路二段11號11層 中山区,4.5,63,https://media-cdn.tripadvisor.com/media/photo-s/0c/fe/17/e4/room-no06-corbusier.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '冰箱']","['免費高速上網 (WiFi)', '免費網際網路', '無線網路', '網際網路', '兒童活動 (適合兒童/家庭)', '機場接送', '禁菸飯店', '自助式洗衣']",
