userName,user_link,commented_hotel
Shan0991,https://www.tripadvisor.com.tw/Profile/Shan0991,"https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d10541923-Reviews-UiNN_Business_Hotel-Shilin_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g293916-d3423715-Reviews-W_Bangkok-Bangkok.html, https://www.tripadvisor.com.tw/Hotel_Review-g6855296-d316985-Reviews-Holiday_Inn_Resort_Kandooma_Maldives-Kandoomaafushi_Island.html, https://www.tripadvisor.com.tw/Hotel_Review-g187310-d559391-Reviews-Holiday_Inn_Nurnberg_City_Centre-Nuremberg_Middle_Franconia_Franconia_Bavaria.html, https://www.tripadvisor.com.tw/Hotel_Review-g274707-d277494-Reviews-Hotel_Pav-Prague_Bohemia.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806497-d1201244-Reviews-Shangri_La_s_Far_Eastern_Plaza_Hotel_Tainan-East_District_Tainan.html, https://www.tripadvisor.com.tw/Hotel_Review-g6695203-d478381-Reviews-Sheraton_Maldives_Full_Moon_Resort_Spa-Furanafushi_Island.html, https://www.tripadvisor.com.tw/Hotel_Review-g298570-d614528-Reviews-Impiana_KLCC_Hotel_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html, https://www.tripadvisor.com.tw/Hotel_Review-g188081-d229921-Reviews-Hotel_Toscana-Interlaken_Bernese_Oberland_Canton_of_Bern.html, https://www.tripadvisor.com.tw/Hotel_Review-g187147-d197535-Reviews-Fraser_Suites_Le_Claridge_Champs_Elysees-Paris_Ile_de_France.html, https://www.tripadvisor.com.tw/Hotel_Review-g188057-d228211-Reviews-Hotel_Edelweiss-Geneva.html, https://www.tripadvisor.com.tw/Hotel_Review-g187147-d456558-Reviews-Hotel_Monte_Carlo-Paris_Ile_de_France.html, https://www.tripadvisor.com.tw/Hotel_Review-g186338-d279672-Reviews-Lynton_Hotel_London-London_England.html, https://www.tripadvisor.com.tw/Hotel_Review-g503819-d189319-Reviews-Holiday_Inn_Express_Manchester_Salford_Quays-Salford_Greater_Manchester_England.html, https://www.tripadvisor.com.tw/Hotel_Review-g298555-d626880-Reviews-Shangri_La_Hotel_Guangzhou-Guangzhou_Guangdong.html"
Lily Pan,https://www.tripadvisor.com.tw/Profile/lily0818,
Jenny Pek,https://www.tripadvisor.com.tw/Profile/jennyp574,"https://www.tripadvisor.com.tw/Hotel_Review-g13806852-d10423337-Reviews-Zhuo_Ye_Cottage-Sanyi_Miaoli.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808534-d5888587-Reviews-KUN_HOTEL-Xitun_Taichung.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2527833-Reviews-Inhouse_Hotel_Heritage-Wanhua_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g308272-d3821609-Reviews-Friend_Hotel-Shanghai.html, https://www.tripadvisor.com.tw/Hotel_Review-g303685-d1890530-Reviews-Huangshan_Tiandu_International_Hotel-Huangshan_Anhui.html, https://www.tripadvisor.com.tw/Hotel_Review-g1170500-d2023062-Reviews-Wuxi_Shanse_Resort-Qingyang_County_Anhui.html, https://www.tripadvisor.com.tw/Hotel_Review-g303685-d1402275-Reviews-Zuiwenquan_Holiday_Hotel-Huangshan_Anhui.html, https://www.tripadvisor.com.tw/Hotel_Review-g294217-d2491604-Reviews-Canada_Hotel-Hong_Kong.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806806-d4045461-Reviews-Red_Residence_Hotel-Qianzhen_Kaohsiung.html"
Christineyu63,https://www.tripadvisor.com.tw/Profile/Christineyu63,"https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2527833-Reviews-Inhouse_Hotel_Heritage-Wanhua_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2347774-Reviews-Amba_Taipei_Ximending-Wanhua_Taipei.html"
Sabrina Swee,https://www.tripadvisor.com.tw/Profile/sabrinaswee,"https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2527833-Reviews-Inhouse_Hotel_Heritage-Wanhua_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g187290-d201712-Reviews-Leonardo_Royal_Hotel_Mannheim-Mannheim_Baden_Wurttemberg.html, https://www.tripadvisor.com.tw/Hotel_Review-g187075-d6510855-Reviews-Holiday_Inn_Express_Strasbourg_Centre-Strasbourg_Bas_Rhin_Grand_Est.html, https://www.tripadvisor.com.tw/Hotel_Review-g187291-d202431-Reviews-Ibis_Styles_Stuttgart-Stuttgart_Baden_Wurttemberg.html, https://www.tripadvisor.com.tw/Hotel_Review-g190441-d229403-Reviews-Wyndham_Grand_Salzburg_Conference_Center-Salzburg_Austrian_Alps.html, https://www.tripadvisor.com.tw/Hotel_Review-g190454-d206611-Reviews-Hotel_Nestroy_Wien-Vienna.html, https://www.tripadvisor.com.tw/Hotel_Review-g1024750-d609804-Reviews-Antony_Palace_Hotel-Marcon_Veneto.html"
Ritzykito,https://www.tripadvisor.com.tw/Profile/ritzykito,"https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2527833-Reviews-Inhouse_Hotel_Heritage-Wanhua_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g1469074-d506030-Reviews-The_Farm_at_San_Benito-Lipa_City_Batangas_Province_Calabarzon_Region_Luzon.html, https://www.tripadvisor.com.tw/Hotel_Review-g295424-d14053402-Reviews-Hampton_by_Hilton_Dubai_Airport-Dubai_Emirate_of_Dubai.html, https://www.tripadvisor.com.tw/Hotel_Review-g298454-d10815993-Reviews-Aureo_La_Union-San_Fernando_La_Union_La_Union_Province_Ilocos_Region_Luzon.html, https://www.tripadvisor.com.tw/Hotel_Review-g298450-d14939351-Reviews-The_Alpha_Suites-Makati_Metro_Manila_Luzon.html, https://www.tripadvisor.com.tw/Hotel_Review-g60878-d1755673-Reviews-Hyatt_Place_Seattle_Downtown-Seattle_Washington.html, https://www.tripadvisor.com.tw/Hotel_Review-g1066457-d4994810-Reviews-Shinjuku_Granbell_Hotel-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html"
shan_xd,https://www.tripadvisor.com.tw/Profile/shan_xd,https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2527833-Reviews-Inhouse_Hotel_Heritage-Wanhua_Taipei.html
Julian Shih,https://www.tripadvisor.com.tw/Profile/ogami0622,https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d1993302-Reviews-Hotel_DOUBLE_ONE-Beitou_Taipei.html
afafe,https://www.tripadvisor.com.tw/Profile/afafe0322,
Peter,https://www.tripadvisor.com.tw/Profile/Dreamer801682,"https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d3908090-Reviews-On_My_Way_Taipei_Hostel-Beitou_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d1993302-Reviews-Hotel_DOUBLE_ONE-Beitou_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d2153372-Reviews-NK_Hostel-Songshan_Taipei.html"
